"""siteid""","""sitename""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
31,忠明,1,二氧化硫,SO2,ppb,2023-09-01,1.4
31,忠明,2,一氧化碳,CO,ppm,2023-09-01,0.32
31,忠明,3,臭氧,O3,ppb,2023-09-01,21
31,忠明,4,懸浮微粒,PM10,μg/m3,2023-09-01,21
31,忠明,5,氮氧化物,NOx,ppb,2023-09-01,13.9
33,彰化,8,總碳氫化物,THC,ppm,2023-09-01,2.13
33,彰化,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.09
33,彰化,10,風速,WIND_SPEED,m/sec,2023-09-01,0.7
33,彰化,14,溫度,AMB_TEMP,℃,2023-09-01,30
33,彰化,31,甲烷,CH4,ppm,2023-09-01,2.04
33,彰化,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,11.4
33,彰化,38,相對濕度,RH,%,2023-09-01,76
33,彰化,143,小時風速值,WS_HR,m/sec,2023-09-01,0.5
34,線西,1,二氧化硫,SO2,ppb,2023-09-01,1.1
34,線西,2,一氧化碳,CO,ppm,2023-09-01,0.23
34,線西,3,臭氧,O3,ppb,2023-09-01,23
34,線西,4,懸浮微粒,PM10,μg/m3,2023-09-01,24
34,線西,5,氮氧化物,NOx,ppb,2023-09-01,8.8
34,線西,6,一氧化氮,NO,ppb,2023-09-01,1.4
34,線西,7,二氧化氮,NO2,ppb,2023-09-01,7.3
34,線西,8,總碳氫化物,THC,ppm,2023-09-01,2.04
34,線西,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.07
34,線西,10,風速,WIND_SPEED,m/sec,2023-09-01,1.6
34,線西,14,溫度,AMB_TEMP,℃,2023-09-01,29.7
34,線西,31,甲烷,CH4,ppm,2023-09-01,1.96
34,線西,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.7
34,線西,38,相對濕度,RH,%,2023-09-01,82
34,線西,143,小時風速值,WS_HR,m/sec,2023-09-01,1.4
35,二林,1,二氧化硫,SO2,ppb,2023-09-01,1.2
35,二林,2,一氧化碳,CO,ppm,2023-09-01,0.17
35,二林,3,臭氧,O3,ppb,2023-09-01,24.4
35,二林,4,懸浮微粒,PM10,μg/m3,2023-09-01,22
35,二林,5,氮氧化物,NOx,ppb,2023-09-01,5.8
35,二林,6,一氧化氮,NO,ppb,2023-09-01,0.8
35,二林,7,二氧化氮,NO2,ppb,2023-09-01,4.9
35,二林,8,總碳氫化物,THC,ppm,2023-09-01,2.14
35,二林,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.02
35,二林,10,風速,WIND_SPEED,m/sec,2023-09-01,1.6
35,二林,14,溫度,AMB_TEMP,℃,2023-09-01,30.1
35,二林,31,甲烷,CH4,ppm,2023-09-01,2.12
35,二林,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,9.4
35,二林,38,相對濕度,RH,%,2023-09-01,87
35,二林,143,小時風速值,WS_HR,m/sec,2023-09-01,1.4
36,南投,1,二氧化硫,SO2,ppb,2023-09-01,0.8
36,南投,2,一氧化碳,CO,ppm,2023-09-01,0.25
36,南投,3,臭氧,O3,ppb,2023-09-01,20.6
36,南投,4,懸浮微粒,PM10,μg/m3,2023-09-01,22
36,南投,5,氮氧化物,NOx,ppb,2023-09-01,7.8
36,南投,6,一氧化氮,NO,ppb,2023-09-01,0.9
36,南投,7,二氧化氮,NO2,ppb,2023-09-01,6.8
36,南投,8,總碳氫化物,THC,ppm,2023-09-01,2.04
36,南投,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.03
36,南投,10,風速,WIND_SPEED,m/sec,2023-09-01,1.1
36,南投,14,溫度,AMB_TEMP,℃,2023-09-01,28.8
36,南投,31,甲烷,CH4,ppm,2023-09-01,2.02
36,南投,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,10.1
36,南投,38,相對濕度,RH,%,2023-09-01,81
36,南投,143,小時風速值,WS_HR,m/sec,2023-09-01,0.9
37,斗六,1,二氧化硫,SO2,ppb,2023-09-01,1.2
37,斗六,2,一氧化碳,CO,ppm,2023-09-01,0.21
37,斗六,3,臭氧,O3,ppb,2023-09-01,22.9
37,斗六,4,懸浮微粒,PM10,μg/m3,2023-09-01,19
37,斗六,5,氮氧化物,NOx,ppb,2023-09-01,6.8
37,斗六,6,一氧化氮,NO,ppb,2023-09-01,0.6
37,斗六,7,二氧化氮,NO2,ppb,2023-09-01,6
37,斗六,8,總碳氫化物,THC,ppm,2023-09-01,2.04
37,斗六,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.03
37,斗六,10,風速,WIND_SPEED,m/sec,2023-09-01,0.9
37,斗六,14,溫度,AMB_TEMP,℃,2023-09-01,28.5
37,斗六,31,甲烷,CH4,ppm,2023-09-01,2
37,斗六,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.2
37,斗六,38,相對濕度,RH,%,2023-09-01,89
37,斗六,143,小時風速值,WS_HR,m/sec,2023-09-01,0.7
38,崙背,1,二氧化硫,SO2,ppb,2023-09-01,0.6
38,崙背,2,一氧化碳,CO,ppm,2023-09-01,0.15
38,崙背,3,臭氧,O3,ppb,2023-09-01,23.5
38,崙背,4,懸浮微粒,PM10,μg/m3,2023-09-01,16
38,崙背,5,氮氧化物,NOx,ppb,2023-09-01,5.2
38,崙背,6,一氧化氮,NO,ppb,2023-09-01,0.9
38,崙背,7,二氧化氮,NO2,ppb,2023-09-01,4.2
38,崙背,8,總碳氫化物,THC,ppm,2023-09-01,2.18
38,崙背,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.01
38,崙背,10,風速,WIND_SPEED,m/sec,2023-09-01,1.1
38,崙背,14,溫度,AMB_TEMP,℃,2023-09-01,29.3
38,崙背,31,甲烷,CH4,ppm,2023-09-01,2.16
38,崙背,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,9.2
38,崙背,38,相對濕度,RH,%,2023-09-01,88
38,崙背,143,小時風速值,WS_HR,m/sec,2023-09-01,0.8
39,新港,1,二氧化硫,SO2,ppb,2023-09-01,1.1
39,新港,2,一氧化碳,CO,ppm,2023-09-01,0.16
39,新港,3,臭氧,O3,ppb,2023-09-01,28.5
39,新港,4,懸浮微粒,PM10,μg/m3,2023-09-01,20
39,新港,5,氮氧化物,NOx,ppb,2023-09-01,6.1
39,新港,6,一氧化氮,NO,ppb,2023-09-01,1
39,新港,7,二氧化氮,NO2,ppb,2023-09-01,5
39,新港,10,風速,WIND_SPEED,m/sec,2023-09-01,1.3
39,新港,14,溫度,AMB_TEMP,℃,2023-09-01,28.5
39,新港,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.5
39,新港,38,相對濕度,RH,%,2023-09-01,87
39,新港,143,小時風速值,WS_HR,m/sec,2023-09-01,1
40,朴子,1,二氧化硫,SO2,ppb,2023-09-01,1.1
40,朴子,2,一氧化碳,CO,ppm,2023-09-01,0.18
40,朴子,3,臭氧,O3,ppb,2023-09-01,29.1
40,朴子,4,懸浮微粒,PM10,μg/m3,2023-09-01,16
40,朴子,5,氮氧化物,NOx,ppb,2023-09-01,5.2
40,朴子,6,一氧化氮,NO,ppb,2023-09-01,1
40,朴子,7,二氧化氮,NO2,ppb,2023-09-01,4.1
40,朴子,10,風速,WIND_SPEED,m/sec,2023-09-01,1.3
40,朴子,14,溫度,AMB_TEMP,℃,2023-09-01,29.2
40,朴子,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.6
40,朴子,38,相對濕度,RH,%,2023-09-01,87
40,朴子,143,小時風速值,WS_HR,m/sec,2023-09-01,1
41,臺西,1,二氧化硫,SO2,ppb,2023-09-01,0.9
41,臺西,2,一氧化碳,CO,ppm,2023-09-01,0.14
41,臺西,3,臭氧,O3,ppb,2023-09-01,25.8
41,臺西,4,懸浮微粒,PM10,μg/m3,2023-09-01,20
41,臺西,5,氮氧化物,NOx,ppb,2023-09-01,6.1
41,臺西,6,一氧化氮,NO,ppb,2023-09-01,1.3
41,臺西,7,二氧化氮,NO2,ppb,2023-09-01,4.8
41,臺西,8,總碳氫化物,THC,ppm,2023-09-01,2.18
41,臺西,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.02
41,臺西,10,風速,WIND_SPEED,m/sec,2023-09-01,1.6
41,臺西,14,溫度,AMB_TEMP,℃,2023-09-01,29.1
41,臺西,31,甲烷,CH4,ppm,2023-09-01,2.16
41,臺西,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,7.1
41,臺西,38,相對濕度,RH,%,2023-09-01,88
41,臺西,143,小時風速值,WS_HR,m/sec,2023-09-01,1.4
42,嘉義,1,二氧化硫,SO2,ppb,2023-09-01,1.1
42,嘉義,2,一氧化碳,CO,ppm,2023-09-01,0.22
42,嘉義,3,臭氧,O3,ppb,2023-09-01,28.8
42,嘉義,4,懸浮微粒,PM10,μg/m3,2023-09-01,17
42,嘉義,5,氮氧化物,NOx,ppb,2023-09-01,6.5
42,嘉義,6,一氧化氮,NO,ppb,2023-09-01,1.1
42,嘉義,7,二氧化氮,NO2,ppb,2023-09-01,5.3
42,嘉義,8,總碳氫化物,THC,ppm,2023-09-01,2.08
42,嘉義,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.05
42,嘉義,10,風速,WIND_SPEED,m/sec,2023-09-01,1
42,嘉義,14,溫度,AMB_TEMP,℃,2023-09-01,28.5
42,嘉義,31,甲烷,CH4,ppm,2023-09-01,2.02
42,嘉義,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,10.2
42,嘉義,38,相對濕度,RH,%,2023-09-01,85
42,嘉義,143,小時風速值,WS_HR,m/sec,2023-09-01,0.7
43,新營,1,二氧化硫,SO2,ppb,2023-09-01,1.1
43,新營,2,一氧化碳,CO,ppm,2023-09-01,0.21
43,新營,3,臭氧,O3,ppb,2023-09-01,22.7
43,新營,4,懸浮微粒,PM10,μg/m3,2023-09-01,16
43,新營,5,氮氧化物,NOx,ppb,2023-09-01,8.8
43,新營,6,一氧化氮,NO,ppb,2023-09-01,1.7
43,新營,7,二氧化氮,NO2,ppb,2023-09-01,7
45,安南,3,臭氧,O3,ppb,2023-09-01,23.5
45,安南,6,一氧化氮,NO,ppb,2023-09-01,2.4
45,安南,7,二氧化氮,NO2,ppb,2023-09-01,9.1
45,安南,8,總碳氫化物,THC,ppm,2023-09-01,2.23
45,安南,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.16
45,安南,10,風速,WIND_SPEED,m/sec,2023-09-01,0.9
45,安南,14,溫度,AMB_TEMP,℃,2023-09-01,28.9
45,安南,31,甲烷,CH4,ppm,2023-09-01,2.06
45,安南,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.8
45,安南,38,相對濕度,RH,%,2023-09-01,84
45,安南,143,小時風速值,WS_HR,m/sec,2023-09-01,0.8
46,臺南,1,二氧化硫,SO2,ppb,2023-09-01,0.4
46,臺南,2,一氧化碳,CO,ppm,2023-09-01,0.35
46,臺南,3,臭氧,O3,ppb,2023-09-01,26.8
46,臺南,4,懸浮微粒,PM10,μg/m3,2023-09-01,13
46,臺南,5,氮氧化物,NOx,ppb,2023-09-01,11.7
46,臺南,6,一氧化氮,NO,ppb,2023-09-01,1.2
46,臺南,7,二氧化氮,NO2,ppb,2023-09-01,10.4
46,臺南,8,總碳氫化物,THC,ppm,2023-09-01,2.18
46,臺南,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.13
46,臺南,10,風速,WIND_SPEED,m/sec,2023-09-01,0.2
46,臺南,14,溫度,AMB_TEMP,℃,2023-09-01,27.8
46,臺南,31,甲烷,CH4,ppm,2023-09-01,2.04
46,臺南,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.4
46,臺南,38,相對濕度,RH,%,2023-09-01,87
46,臺南,143,小時風速值,WS_HR,m/sec,2023-09-01,0.1
47,美濃,1,二氧化硫,SO2,ppb,2023-09-01,0.2
47,美濃,2,一氧化碳,CO,ppm,2023-09-01,0.17
47,美濃,3,臭氧,O3,ppb,2023-09-01,22.8
47,美濃,4,懸浮微粒,PM10,μg/m3,2023-09-01,14
47,美濃,5,氮氧化物,NOx,ppb,2023-09-01,3.3
47,美濃,6,一氧化氮,NO,ppb,2023-09-01,0.7
47,美濃,7,二氧化氮,NO2,ppb,2023-09-01,2.5
47,美濃,10,風速,WIND_SPEED,m/sec,2023-09-01,0.8
47,美濃,14,溫度,AMB_TEMP,℃,2023-09-01,28.3
47,美濃,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,4.1
47,美濃,38,相對濕度,RH,%,2023-09-01,92
47,美濃,143,小時風速值,WS_HR,m/sec,2023-09-01,0.5
48,橋頭,1,二氧化硫,SO2,ppb,2023-09-01,1.4
48,橋頭,2,一氧化碳,CO,ppm,2023-09-01,0.26
48,橋頭,3,臭氧,O3,ppb,2023-09-01,22.1
48,橋頭,4,懸浮微粒,PM10,μg/m3,2023-09-01,17
48,橋頭,5,氮氧化物,NOx,ppb,2023-09-01,10.1
48,橋頭,6,一氧化氮,NO,ppb,2023-09-01,1.3
48,橋頭,7,二氧化氮,NO2,ppb,2023-09-01,8.8
48,橋頭,8,總碳氫化物,THC,ppm,2023-09-01,2.11
48,橋頭,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.06
48,橋頭,10,風速,WIND_SPEED,m/sec,2023-09-01,1.6
48,橋頭,14,溫度,AMB_TEMP,℃,2023-09-01,29.2
48,橋頭,31,甲烷,CH4,ppm,2023-09-01,2.04
48,橋頭,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,7.6
48,橋頭,38,相對濕度,RH,%,2023-09-01,82
48,橋頭,143,小時風速值,WS_HR,m/sec,2023-09-01,1.3
49,仁武,1,二氧化硫,SO2,ppb,2023-09-01,1.8
49,仁武,2,一氧化碳,CO,ppm,2023-09-01,0.28
49,仁武,3,臭氧,O3,ppb,2023-09-01,22.2
49,仁武,4,懸浮微粒,PM10,μg/m3,2023-09-01,14
49,仁武,5,氮氧化物,NOx,ppb,2023-09-01,12.3
49,仁武,6,一氧化氮,NO,ppb,2023-09-01,2.1
49,仁武,7,二氧化氮,NO2,ppb,2023-09-01,10.1
49,仁武,8,總碳氫化物,THC,ppm,2023-09-01,2.04
49,仁武,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.07
49,仁武,10,風速,WIND_SPEED,m/sec,2023-09-01,1.7
49,仁武,14,溫度,AMB_TEMP,℃,2023-09-01,29.1
49,仁武,31,甲烷,CH4,ppm,2023-09-01,1.98
49,仁武,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,7.4
49,仁武,38,相對濕度,RH,%,2023-09-01,81
49,仁武,143,小時風速值,WS_HR,m/sec,2023-09-01,1.6
50,鳳山,1,二氧化硫,SO2,ppb,2023-09-01,1.7
50,鳳山,2,一氧化碳,CO,ppm,2023-09-01,0.38
50,鳳山,3,臭氧,O3,ppb,2023-09-01,19.1
50,鳳山,4,懸浮微粒,PM10,μg/m3,2023-09-01,14
50,鳳山,5,氮氧化物,NOx,ppb,2023-09-01,11.6
50,鳳山,6,一氧化氮,NO,ppb,2023-09-01,2
50,鳳山,7,二氧化氮,NO2,ppb,2023-09-01,9.4
50,鳳山,8,總碳氫化物,THC,ppm,2023-09-01,2.2
50,鳳山,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.09
50,鳳山,10,風速,WIND_SPEED,m/sec,2023-09-01,0.8
50,鳳山,38,相對濕度,RH,%,2023-09-01,81
50,鳳山,143,小時風速值,WS_HR,m/sec,2023-09-01,0.3
51,大寮,1,二氧化硫,SO2,ppb,2023-09-01,1.9
51,大寮,2,一氧化碳,CO,ppm,2023-09-01,0.18
51,大寮,3,臭氧,O3,ppb,2023-09-01,18.6
51,大寮,4,懸浮微粒,PM10,μg/m3,2023-09-01,25
51,大寮,5,氮氧化物,NOx,ppb,2023-09-01,7.8
51,大寮,6,一氧化氮,NO,ppb,2023-09-01,1.7
51,大寮,7,二氧化氮,NO2,ppb,2023-09-01,6
51,大寮,8,總碳氫化物,THC,ppm,2023-09-01,2.1
51,大寮,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.03
51,大寮,10,風速,WIND_SPEED,m/sec,2023-09-01,1.3
51,大寮,14,溫度,AMB_TEMP,℃,2023-09-01,29.2
51,大寮,31,甲烷,CH4,ppm,2023-09-01,2.08
51,大寮,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,6.5
51,大寮,38,相對濕度,RH,%,2023-09-01,83
51,大寮,143,小時風速值,WS_HR,m/sec,2023-09-01,1.2
52,林園,1,二氧化硫,SO2,ppb,2023-09-01,1
52,林園,2,一氧化碳,CO,ppm,2023-09-01,0.14
52,林園,3,臭氧,O3,ppb,2023-09-01,23.5
52,林園,4,懸浮微粒,PM10,μg/m3,2023-09-01,30
52,林園,5,氮氧化物,NOx,ppb,2023-09-01,4.2
52,林園,6,一氧化氮,NO,ppb,2023-09-01,0.7
52,林園,7,二氧化氮,NO2,ppb,2023-09-01,3.4
52,林園,8,總碳氫化物,THC,ppm,2023-09-01,2.09
52,林園,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.02
28,豐原,143,小時風速值,WS_HR,m/sec,2023-09-01,1.2
28,豐原,38,相對濕度,RH,%,2023-09-01,81
28,豐原,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,10
28,豐原,31,甲烷,CH4,ppm,2023-09-01,1.87
28,豐原,14,溫度,AMB_TEMP,℃,2023-09-01,28.1
28,豐原,10,風速,WIND_SPEED,m/sec,2023-09-01,1.5
52,林園,10,風速,WIND_SPEED,m/sec,2023-09-01,2.3
52,林園,14,溫度,AMB_TEMP,℃,2023-09-01,29.3
52,林園,31,甲烷,CH4,ppm,2023-09-01,2.06
52,林園,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,4
52,林園,38,相對濕度,RH,%,2023-09-01,86
52,林園,143,小時風速值,WS_HR,m/sec,2023-09-01,2.1
53,楠梓,1,二氧化硫,SO2,ppb,2023-09-01,1.5
53,楠梓,2,一氧化碳,CO,ppm,2023-09-01,0.24
53,楠梓,3,臭氧,O3,ppb,2023-09-01,19.9
53,楠梓,4,懸浮微粒,PM10,μg/m3,2023-09-01,16
53,楠梓,5,氮氧化物,NOx,ppb,2023-09-01,12.3
53,楠梓,6,一氧化氮,NO,ppb,2023-09-01,1.8
53,楠梓,7,二氧化氮,NO2,ppb,2023-09-01,10.4
53,楠梓,8,總碳氫化物,THC,ppm,2023-09-01,2.12
53,楠梓,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.08
53,楠梓,10,風速,WIND_SPEED,m/sec,2023-09-01,1.4
53,楠梓,14,溫度,AMB_TEMP,℃,2023-09-01,29.4
53,楠梓,31,甲烷,CH4,ppm,2023-09-01,2.04
28,豐原,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.08
28,豐原,8,總碳氫化物,THC,ppm,2023-09-01,1.95
28,豐原,7,二氧化氮,NO2,ppb,2023-09-01,5.8
28,豐原,6,一氧化氮,NO,ppb,2023-09-01,1.2
28,豐原,5,氮氧化物,NOx,ppb,2023-09-01,7.1
28,豐原,4,懸浮微粒,PM10,μg/m3,2023-09-01,21
28,豐原,3,臭氧,O3,ppb,2023-09-01,26.4
28,豐原,2,一氧化碳,CO,ppm,2023-09-01,0.22
28,豐原,1,二氧化硫,SO2,ppb,2023-09-01,1.7
27,三義,143,小時風速值,WS_HR,m/sec,2023-09-01,1
27,三義,38,相對濕度,RH,%,2023-09-01,89
27,三義,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,6.5
27,三義,32,降雨強度,RAIN_INT,㎜,2023-09-01,22.7
27,三義,14,溫度,AMB_TEMP,℃,2023-09-01,26.7
27,三義,10,風速,WIND_SPEED,m/sec,2023-09-01,1.3
25,頭份,10,風速,WIND_SPEED,m/sec,2023-09-01,1.5
25,頭份,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.05
25,頭份,8,總碳氫化物,THC,ppm,2023-09-01,1.98
25,頭份,7,二氧化氮,NO2,ppb,2023-09-01,5.7
25,頭份,6,一氧化氮,NO,ppb,2023-09-01,2.5
25,頭份,5,氮氧化物,NOx,ppb,2023-09-01,8.3
25,頭份,4,懸浮微粒,PM10,μg/m3,2023-09-01,17
25,頭份,3,臭氧,O3,ppb,2023-09-01,15.2
25,頭份,2,一氧化碳,CO,ppm,2023-09-01,0.17
25,頭份,1,二氧化硫,SO2,ppb,2023-09-01,1
24,新竹,143,小時風速值,WS_HR,m/sec,2023-09-01,1.9
24,新竹,38,相對濕度,RH,%,2023-09-01,75
24,新竹,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,5.5
24,新竹,31,甲烷,CH4,ppm,2023-09-01,1.91
24,新竹,14,溫度,AMB_TEMP,℃,2023-09-01,30.2
24,新竹,10,風速,WIND_SPEED,m/sec,2023-09-01,2.4
24,新竹,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.06
24,新竹,8,總碳氫化物,THC,ppm,2023-09-01,1.98
24,新竹,7,二氧化氮,NO2,ppb,2023-09-01,7.7
24,新竹,6,一氧化氮,NO,ppb,2023-09-01,1.4
24,新竹,5,氮氧化物,NOx,ppb,2023-09-01,9.2
24,新竹,4,懸浮微粒,PM10,μg/m3,2023-09-01,12
24,新竹,3,臭氧,O3,ppb,2023-09-01,13.2
24,新竹,2,一氧化碳,CO,ppm,2023-09-01,0.18
24,新竹,1,二氧化硫,SO2,ppb,2023-09-01,0.5
23,竹東,143,小時風速值,WS_HR,m/sec,2023-09-01,1.6
23,竹東,38,相對濕度,RH,%,2023-09-01,75
23,竹東,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,3.8
23,竹東,14,溫度,AMB_TEMP,℃,2023-09-01,29.7
23,竹東,10,風速,WIND_SPEED,m/sec,2023-09-01,1.9
23,竹東,7,二氧化氮,NO2,ppb,2023-09-01,4.1
23,竹東,6,一氧化氮,NO,ppb,2023-09-01,1.6
23,竹東,5,氮氧化物,NOx,ppb,2023-09-01,5.9
23,竹東,4,懸浮微粒,PM10,μg/m3,2023-09-01,11
23,竹東,3,臭氧,O3,ppb,2023-09-01,12.1
23,竹東,2,一氧化碳,CO,ppm,2023-09-01,0.12
23,竹東,1,二氧化硫,SO2,ppb,2023-09-01,0.3
22,湖口,143,小時風速值,WS_HR,m/sec,2023-09-01,3.3
22,湖口,38,相對濕度,RH,%,2023-09-01,75
22,湖口,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,4.5
22,湖口,14,溫度,AMB_TEMP,℃,2023-09-01,29.8
53,楠梓,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,6.6
53,楠梓,38,相對濕度,RH,%,2023-09-01,82
53,楠梓,143,小時風速值,WS_HR,m/sec,2023-09-01,1.1
54,左營,1,二氧化硫,SO2,ppb,2023-09-01,1.9
54,左營,2,一氧化碳,CO,ppm,2023-09-01,0.25
54,左營,3,臭氧,O3,ppb,2023-09-01,21
54,左營,4,懸浮微粒,PM10,μg/m3,2023-09-01,16
54,左營,5,氮氧化物,NOx,ppb,2023-09-01,11
54,左營,6,一氧化氮,NO,ppb,2023-09-01,1.5
54,左營,7,二氧化氮,NO2,ppb,2023-09-01,9.4
54,左營,8,總碳氫化物,THC,ppm,2023-09-01,2.06
54,左營,9,非甲烷碳氫化合物,NMHC,ppm,2023-09-01,0.09
54,左營,10,風速,WIND_SPEED,m/sec,2023-09-01,2.1
54,左營,14,溫度,AMB_TEMP,℃,2023-09-01,29.6
54,左營,31,甲烷,CH4,ppm,2023-09-01,1.98
54,左營,33,細懸浮微粒,PM2.5,μg/m3,2023-09-01,8.2
54,左營,38,相對濕度,RH,%,2023-09-01,77
54,左營,143,小時風速值,WS_HR,m/sec,2023-09-01,1.5
56,前金,1,二氧化硫,SO2,ppb,2023-09-01,1.1
56,前金,2,一氧化碳,CO,ppm,2023-09-01,0.23
56,前金,3,臭氧,O3,ppb,2023-09-01,21.6
56,前金,4,懸浮微粒,PM10,μg/m3,2023-09-01,18
56,前金,5,氮氧化物,NOx,ppb,2023-09-01,9.7
56,前金,6,一氧化氮,NO,ppb,2023-09-01,1.9
56,前金,7,二氧化氮,NO2,ppb,2023-09-01,7.7
56,前金,8,總碳氫化物,THC,ppm,2023-09-01,2
22,湖口,10,風速,WIND_SPEED,m/sec,2023-09-01,3.6
22,湖口,7,二氧化氮,NO2,ppb,2023-09-01,6
22,湖口,6,一氧化氮,NO,ppb,2023-09-01,1.5
22,湖口,5,氮氧化物,NOx,ppb,2023-09-01,7.7
22,湖口,4,懸浮微粒,PM10,μg/m3,2023-09-01,14
22,湖口,3,臭氧,O3,ppb,2023-09-01,12.3
22,湖口,2,一氧化碳,CO,ppm,2023-09-01,0.12
